academic_program_code,alias_type,alias_name,normalized_alias_name,source
T00000012625,official_name,미래도시건축환경융합전공,미래도시건축환경융합전공,2026_department_classification
T00000012625,display_name,공과대학 미래도시건축환경융합전공,공과대학미래도시건축환경융합전공,2026_department_classification
T00000012631,official_name,스마트가전공학과,스마트가전공학과,2026_department_classification
T00000012631,display_name,공과대학 스마트가전공학과,공과대학스마트가전공학과,2026_department_classification
T00000012652,official_name,정보컴퓨터공학부(디자인테크놀로지전공),정보컴퓨터공학부(디자인테크놀로지전공),2026_department_classification
T00000012652,display_name,정보의생명공학대학 정보컴퓨터공학부(디자인테크놀로지전공),정보의생명공학대학정보컴퓨터공학부(디자인테크놀로지전공),2026_department_classification
T00000012652,parent_department_name,정보컴퓨터공학부,정보컴퓨터공학부,2026_department_classification
T00000012652,major_name,디자인테크놀로지전공,디자인테크놀로지전공,2026_department_classification
T00000012655,official_name,첨단IT자율전공,첨단it자율전공,2026_department_classification
T00000012655,display_name,공과대학 첨단IT자율전공,공과대학첨단it자율전공,2026_department_classification
T00000012656,official_name,첨단모빌리티자율전공,첨단모빌리티자율전공,2026_department_classification
T00000012656,display_name,공과대학 첨단모빌리티자율전공,공과대학첨단모빌리티자율전공,2026_department_classification
T00000012657,official_name,첨단소재자율전공,첨단소재자율전공,2026_department_classification
T00000012657,display_name,공과대학 첨단소재자율전공,공과대학첨단소재자율전공,2026_department_classification
T00000012658,official_name,첨단융합학부 AI융합계산과학전공,첨단융합학부ai융합계산과학전공,2026_department_classification
T00000012658,display_name,학부대학 첨단융합학부 AI융합계산과학전공,학부대학첨단융합학부ai융합계산과학전공,2026_department_classification
T00000012659,official_name,첨단융합학부 광메카트로닉스공학전공,첨단융합학부광메카트로닉스공학전공,2026_department_classification
T00000012659,display_name,학부대학 첨단융합학부 광메카트로닉스공학전공,학부대학첨단융합학부광메카트로닉스공학전공,2026_department_classification
T00000012660,official_name,첨단융합학부 나노소자첨단제조전공,첨단융합학부나노소자첨단제조전공,2026_department_classification
T00000012660,display_name,학부대학 첨단융합학부 나노소자첨단제조전공,학부대학첨단융합학부나노소자첨단제조전공,2026_department_classification
T00000012661,official_name,첨단융합학부 미래에너지전공,첨단융합학부미래에너지전공,2026_department_classification
T00000012661,display_name,학부대학 첨단융합학부 미래에너지전공,학부대학첨단융합학부미래에너지전공,2026_department_classification
T00000012662,official_name,첨단융합학부 스마트시티전공,첨단융합학부스마트시티전공,2026_department_classification
T00000012662,display_name,공과대학 첨단융합학부 스마트시티전공,공과대학첨단융합학부스마트시티전공,2026_department_classification
U01010100008,official_name,언어정보학과,언어정보학과,2026_department_classification
U01010100008,display_name,인문대학 언어정보학과,인문대학언어정보학과,2026_department_classification
U01010200008,official_name,국어국문학과,국어국문학과,2026_department_classification
U01010200008,display_name,인문대학 국어국문학과,인문대학국어국문학과,2026_department_classification
U01010300010,official_name,일어일문학과,일어일문학과,2026_department_classification
U01010300010,display_name,인문대학 일어일문학과,인문대학일어일문학과,2026_department_classification
U01010400016,official_name,중어중문학과,중어중문학과,2026_department_classification
U01010400016,display_name,인문대학 중어중문학과,인문대학중어중문학과,2026_department_classification
U01010400019,official_name,한문학과,한문학과,2026_department_classification
U01010400019,display_name,인문대학 한문학과,인문대학한문학과,2026_department_classification
U01010600018,official_name,영어영문학과,영어영문학과,2026_department_classification
U01010600018,display_name,인문대학 영어영문학과,인문대학영어영문학과,2026_department_classification
U01010700003,official_name,독어독문학과,독어독문학과,2026_department_classification
U01010700003,display_name,인문대학 독어독문학과,인문대학독어독문학과,2026_department_classification
U01010800003,official_name,노어노문학과,노어노문학과,2026_department_classification
U01010800003,display_name,인문대학 노어노문학과,인문대학노어노문학과,2026_department_classification
U01011000004,official_name,불어불문학과,불어불문학과,2026_department_classification
U01011000004,display_name,인문대학 불어불문학과,인문대학불어불문학과,2026_department_classification
U01020100006,official_name,문헌정보학과,문헌정보학과,2026_department_classification
U01020100006,display_name,사회과학대학 문헌정보학과,사회과학대학문헌정보학과,2026_department_classification
U01020300006,official_name,심리학과,심리학과,2026_department_classification
U01020300006,display_name,사회과학대학 심리학과,사회과학대학심리학과,2026_department_classification
U01020400001,official_name,고고학과,고고학과,2026_department_classification
U01020400001,display_name,인문대학 고고학과,인문대학고고학과,2026_department_classification
U01020400006,official_name,사학과,사학과,2026_department_classification
U01020400006,display_name,인문대학 사학과,인문대학사학과,2026_department_classification
U01020700029,official_name,철학과,철학과,2026_department_classification
U01020700029,display_name,인문대학 철학과,인문대학철학과,2026_department_classification
U01020800075,official_name,교양학부(인문사회계열),교양학부(인문사회계열),2026_department_classification
U01020800075,display_name,단과대구분없음 교양학부(인문사회계열),단과대구분없음교양학부(인문사회계열),2026_department_classification
U01020800075,parent_department_name,교양학부,교양학부,2026_department_classification
U01020800075,major_name,인문사회계열,인문사회계열,2026_department_classification
U01020800121,official_name,기타모집단위,기타모집단위,2026_department_classification
U01020800121,display_name,단과대구분없음 기타모집단위,단과대구분없음기타모집단위,2026_department_classification
U01020800341,official_name,글로벌자유전공학부,글로벌자유전공학부,2026_department_classification
U01020800341,display_name,학부대학 글로벌자유전공학부,학부대학글로벌자유전공학부,2026_department_classification
U02010100035,official_name,경영학과,경영학과,2026_department_classification
U02010100035,display_name,경영대학 경영학과,경영대학경영학과,2026_department_classification
U02010100038,official_name,경영학부,경영학부,2026_department_classification
U02010100038,display_name,상과대학 경영학부,상과대학경영학부,2026_department_classification
U02010100039,official_name,경영학전공,경영학전공,2026_department_classification
U02010100039,display_name,상과대학 경영학전공,상과대학경영학전공,2026_department_classification
U02010100522,official_name,관광컨벤션학부,관광컨벤션학부,2026_department_classification
U02010100522,display_name,단과대구분없음 관광컨벤션학부,단과대구분없음관광컨벤션학부,2026_department_classification
U02010200014,official_name,경제학과,경제학과,2026_department_classification
U02010200014,display_name,상과대학 경제학과,상과대학경제학과,2026_department_classification
U02010200015,official_name,경제학부,경제학부,2026_department_classification
U02010200015,display_name,경제통상대학 경제학부,경제통상대학경제학부,2026_department_classification
U02010200024,official_name,농업경제학과,농업경제학과,2026_department_classification
U02010200024,display_name,생명자원과학대학 농업경제학과,생명자원과학대학농업경제학과,2026_department_classification
U02010300070,official_name,관광컨벤션학과,관광컨벤션학과,2026_department_classification
U02010300070,display_name,경제통상대학 관광컨벤션학과,경제통상대학관광컨벤션학과,2026_department_classification
U02010500055,official_name,회계학전공,회계학전공,2026_department_classification
U02010500055,display_name,상과대학 회계학전공,상과대학회계학전공,2026_department_classification
U02010500227,official_name,핀테크융합전공,핀테크융합전공,2026_department_classification
U02010500227,display_name,단과대구분없음 핀테크융합전공,단과대구분없음핀테크융합전공,2026_department_classification
U02010600029,official_name,무역·국제학부,무역·국제학부,2026_department_classification
U02010600029,display_name,상과대학 무역·국제학부,상과대학무역·국제학부,2026_department_classification
U02010600032,official_name,무역학부,무역학부,2026_department_classification
U02010600032,display_name,경제통상대학 무역학부,경제통상대학무역학부,2026_department_classification
U02030100029,official_name,사회복지학과,사회복지학과,2026_department_classification
U02030100029,display_name,사회과학대학 사회복지학과,사회과학대학사회복지학과,2026_department_classification
U02030200021,official_name,국제학부,국제학부,2026_department_classification
U02030200021,display_name,경제통상대학 국제학부,경제통상대학국제학부,2026_department_classification
U02030200082,official_name,한국·동아시아학전공,한국·동아시아학전공,2026_department_classification
U02030200082,display_name,경제통상대학 한국·동아시아학전공,경제통상대학한국·동아시아학전공,2026_department_classification
U02030400005,official_name,사회학과,사회학과,2026_department_classification
U02030400005,display_name,사회과학대학 사회학과,사회과학대학사회학과,2026_department_classification
U02030500040,official_name,신문방송학과,신문방송학과,2026_department_classification
U02030500040,display_name,사회과학대학 신문방송학과,사회과학대학신문방송학과,2026_department_classification
U02030500137,official_name,미디어커뮤니케이션학과,미디어커뮤니케이션학과,2026_department_classification
U02030500137,display_name,사회과학대학 미디어커뮤니케이션학과,사회과학대학미디어커뮤니케이션학과,2026_department_classification
U02030600012,official_name,정치외교학과,정치외교학과,2026_department_classification
U02030600012,display_name,사회과학대학 정치외교학과,사회과학대학정치외교학과,2026_department_classification
U02030700014,official_name,공공정책학부,공공정책학부,2026_department_classification
U02030700014,display_name,경제통상대학 공공정책학부,경제통상대학공공정책학부,2026_department_classification
U02030700081,official_name,행정학과,행정학과,2026_department_classification
U02030700081,display_name,사회과학대학 행정학과,사회과학대학행정학과,2026_department_classification
U02030800044,official_name,Global Studies Program,globalstudiesprogram,2026_department_classification
U02030800044,display_name,단과대구분없음 Global Studies Program,단과대구분없음globalstudiesprogram,2026_department_classification
U03010100010,official_name,교육학과,교육학과,2026_department_classification
U03010100010,display_name,사범대학 교육학과,사범대학교육학과,2026_department_classification
U03020100007,official_name,유아교육과,유아교육과,2026_department_classification
U03020100007,display_name,사범대학 유아교육과,사범대학유아교육과,2026_department_classification
U03030100013,official_name,특수교육과,특수교육과,2026_department_classification
U03030100013,display_name,사범대학 특수교육과,사범대학특수교육과,2026_department_classification
U03050100002,official_name,국어교육과,국어교육과,2026_department_classification
U03050100002,display_name,사범대학 국어교육과,사범대학국어교육과,2026_department_classification
U03050100004,official_name,독어교육과,독어교육과,2026_department_classification
U03050100004,display_name,사범대학 독어교육과,사범대학독어교육과,2026_department_classification
U03050100007,official_name,불어교육과,불어교육과,2026_department_classification
U03050100007,display_name,사범대학 불어교육과,사범대학불어교육과,2026_department_classification
U03050100010,official_name,영어교육과,영어교육과,2026_department_classification
U03050100010,display_name,사범대학 영어교육과,사범대학영어교육과,2026_department_classification
U03050200011,official_name,윤리교육과,윤리교육과,2026_department_classification
U03050200011,display_name,사범대학 윤리교육과,사범대학윤리교육과,2026_department_classification
U03050300007,official_name,역사교육과,역사교육과,2026_department_classification
U03050300007,display_name,사범대학 역사교육과,사범대학역사교육과,2026_department_classification
U03050300012,official_name,일반사회교육과,일반사회교육과,2026_department_classification
U03050300012,display_name,사범대학 일반사회교육과,사범대학일반사회교육과,2026_department_classification
U03050300014,official_name,지리교육과,지리교육과,2026_department_classification
U03050300014,display_name,사범대학 지리교육과,사범대학지리교육과,2026_department_classification
U03050500010,official_name,물리교육과,물리교육과,2026_department_classification
U03050500010,display_name,사범대학 물리교육과,사범대학물리교육과,2026_department_classification
U03050500013,official_name,생물교육과,생물교육과,2026_department_classification
