academic_program_code,survey_year,survey_round,school_code,school_name,campus_code,campus_name,college_code,college_name,program_name,display_name,normalized_program_name,parent_department_name,major_name,day_night_code,day_night_name,program_feature_code,program_feature_name,duration_code,duration_name,status_code,status_name,education_ministry_5_category,degree_level,quota_adjustment_type,first_admission_year,free_major_type_code,free_major_type_name,kedi_7_category,source_updated_at,source_file,is_active,is_bachelor
T00000012625,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),009,공과대학,미래도시건축환경융합전공,공과대학 미래도시건축환경융합전공,미래도시건축환경융합전공,,,1,주간,10,일반과정,40,4년,4,변경,공학계열,학사,해당없음2,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012631,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),009,공과대학,스마트가전공학과,공과대학 스마트가전공학과,스마트가전공학과,,,1,주간,40,계약학과,40,4년,1,신설,공학계열,학사,,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012652,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),702,정보의생명공학대학,정보컴퓨터공학부(디자인테크놀로지전공),정보의생명공학대학 정보컴퓨터공학부(디자인테크놀로지전공),정보컴퓨터공학부(디자인테크놀로지전공),정보컴퓨터공학부,디자인테크놀로지전공,1,주간,10,일반과정,40,4년,4,변경,공학계열,학사,첨단학과(승인+자율),2026,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012655,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),009,공과대학,첨단IT자율전공,공과대학 첨단IT자율전공,첨단it자율전공,,,1,주간,10,일반과정,40,4년,4,변경,공학계열,학사,해당없음2,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012656,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),009,공과대학,첨단모빌리티자율전공,공과대학 첨단모빌리티자율전공,첨단모빌리티자율전공,,,1,주간,10,일반과정,40,4년,4,변경,공학계열,학사,해당없음2,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012657,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),009,공과대학,첨단소재자율전공,공과대학 첨단소재자율전공,첨단소재자율전공,,,1,주간,10,일반과정,40,4년,4,변경,공학계열,학사,해당없음2,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012658,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),139,학부대학,첨단융합학부 AI융합계산과학전공,학부대학 첨단융합학부 AI융합계산과학전공,첨단융합학부ai융합계산과학전공,,,1,주간,10,일반과정,40,4년,1,신설,자연과학계열,학사,첨단학과(승인+자율),2026,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012659,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),139,학부대학,첨단융합학부 광메카트로닉스공학전공,학부대학 첨단융합학부 광메카트로닉스공학전공,첨단융합학부광메카트로닉스공학전공,,,1,주간,10,일반과정,40,4년,1,신설,자연과학계열,학사,,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012660,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),139,학부대학,첨단융합학부 나노소자첨단제조전공,학부대학 첨단융합학부 나노소자첨단제조전공,첨단융합학부나노소자첨단제조전공,,,1,주간,10,일반과정,40,4년,1,신설,자연과학계열,학사,,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
T00000012661,2026,1,51011000,부산대학교,1,본교(제1캠퍼스),139,학부대학,첨단융합학부 미래에너지전공,학부대학 첨단융합학부 미래에너지전공,첨단융합학부미래에너지전공,,,1,주간,10,일반과정,40,4년,1,신설,자연과학계열,학사,,,10,해당없음,,2026-06-04 13:15:22,1-2._2026_학과(전공)_분류_자료집.xlsx,True,True
