college,program_name,parent_name,hy_core,hy_balanced,basic_included,hy_creative,general_subtotal,major_foundation,major_required,major_elective,minor_subtotal,deep_required,deep_elective,deep_total,major_total,free_elective,teaching,total,notes
인문대학,국어국문학과,,9,15,1,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,중어중문학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,일어일문학과,,9,15,3,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,영어영문학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,불어불문학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,독어독문학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,2026 개정(부칙 제3099호 제2조: 2026학년도 신입생부터)
인문대학,노어노문학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,한문학과,,9,15,,6,30,15,24,12,51,,,21,72,24,,126,
인문대학,언어정보학과,,9,15,,6,30,12,18,18,48,,,21,69,27,,126,
인문대학,사학과,,9,15,,6,30,12,21,15,48,,,21,69,27,,126,
인문대학,철학과,,9,15,1,6,30,12,18,21,51,,,24,75,21,,126,
인문대학,고고학과,,9,15,,6,30,12,24,12,48,,,21,69,27,,126,
사회과학대학,행정학과,,9,15,,6,30,6,24,18,48,,,21,69,27,,126,
사회과학대학,정치외교학과,,9,15,,6,30,12,15,21,48,,,21,69,27,,126,
사회과학대학,사회복지학과,,9,15,,6,30,12,21,21,54,,,24,78,21,,129,
사회과학대학,사회학과,,9,15,,6,30,12,12,24,48,,,24,72,24,,126,
사회과학대학,심리학과,,9,15,,6,30,6,6,36,48,,,21,69,27,,126,
사회과학대학,문헌정보학과,,9,15,3,6,30,12,9,27,48,,,24,72,27,,129,
사회과학대학,미디어커뮤니케이션학과,,9,15,,6,30,9,12,27,48,,,21,69,27,,126,
자연과학대학,수학과,,9,15,3,6,30,21,24,12,57,,,21,78,21,,129,
자연과학대학,통계학과,,9,15,3,6,30,21,21,15,57,,,21,78,21,,129,
자연과학대학,물리학과,,9,15,,6,30,21,33,3,57,,,21,78,21,,129,
자연과학대학,화학과,,9,15,6,6,30,21,35,1,57,,,21,78,21,,129,
자연과학대학,생명과학과,,9,15,,6,30,21,25,11,57,,,21,78,21,,129,
자연과학대학,미생물학과,,9,15,3,6,30,21,20,12,53,,,25,78,21,,129,2026 개정(부칙 제3099호 제3조: 2026 신입생부터. 부전공자는 최소전공 외 전공교과 4학점 추가 필수)
자연과학대학,분자생물학과,,9,15,,6,30,21,22,14,57,,,21,78,21,,129,
자연과학대학,지질환경과학과,,9,15,,6,30,21,24,12,57,,,21,78,21,,129,
자연과학대학,해양학과,,9,15,,6,30,21,27,9,57,,,21,78,21,,129,
자연과학대학,대기환경과학과,,9,15,3,6,30,21,27,9,57,,,21,78,21,,129,
공과대학,기계공학부,,10,9,1,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,고분자공학과,,10,9,,6,25,25,36,,61,10,35,45,106,6,,137,
공과대학,유기소재시스템공학과,,10,9,3,6,25,25,36,,61,0,45,45,106,6,,137,
공과대학,화공생명공학과,,10,9,,6,25,25,36,,61,11,34,45,106,6,,137,
공과대학,환경공학과,,10,9,3,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,화공생명·환경공학부,,10,9,,6,25,25,36,,61,12,33,45,106,6,,137,별표2 표기: 화공생명·환경공학부 환경공학전공(학부 단일 전공)
공과대학,재료공학부,,10,9,,6,25,25,36,,61,0,45,45,106,6,,137,
공과대학,전자공학전공,전기전자공학부,10,9,3,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,전기공학전공,전기전자공학부,10,9,4,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,반도체공학전공,전기전자공학부,10,9,3,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,건축학과,,9,15,,6,30,15,102,18,135,,,,135,3,,168,5년제
공과대학,건축공학과,,10,9,,6,25,27,36,,63,0,45,45,108,4,,137,2026 개정. 합계 셀 원문 재확인 필요(산술상 108)
공과대학,도시공학과,,10,9,,6,25,25,36,,61,9,36,45,106,6,,137,
공과대학,사회기반시스템공학과,,10,9,,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,항공우주공학과,,10,9,3,6,25,25,36,,61,12,33,45,106,6,,137,
공과대학,산업공학과,,10,9,3,6,25,25,36,,61,0,45,45,106,6,,137,
공과대학,조선·해양공학과,,10,9,,6,25,25,36,,61,11,34,45,106,6,,137,
공과대학,스마트시티전공,,10,9,3,6,25,25,36,,61,9,36,45,106,6,,137,2026 신설(부칙 제3099호 제5조)
사범대학,국어교육과,,9,12,3,6,27,12,24,17,53,,,21,74,12,22,135,
사범대학,영어교육과,,9,12,,6,27,12,21,20,53,,,21,74,12,22,135,
