academic_program_code,ais_dept_code,program_name_src,school_name,college_name,department_name,major_name,split_rule,note,folder_path
U01020400001,313700,고고학과,부산대학교,인문대학,고고학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01020400001__고고학과
U01010200008,311100,국어국문학과,부산대학교,인문대학,국어국문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010200008__국어국문학과
U01010800003,312700,노어노문학과,부산대학교,인문대학,노어노문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010800003__노어노문학과
U01010700003,312500,독어독문학과,부산대학교,인문대학,독어독문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010700003__독어독문학과
U01011000004,312300,불어불문학과,부산대학교,인문대학,불어불문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01011000004__불어불문학과
U01020400006,313100,사학과,부산대학교,인문대학,사학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01020400006__사학과
U01010100008,314000,언어정보학과,부산대학교,인문대학,언어정보학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010100008__언어정보학과
U01010600018,312100,영어영문학과,부산대학교,인문대학,영어영문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010600018__영어영문학과
U01010300010,311500,일어일문학과,부산대학교,인문대학,일어일문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010300010__일어일문학과
U01010400016,311300,중어중문학과,부산대학교,인문대학,중어중문학과,,ais,표기/배치=AIS 기준(2026-07-08 팀 확정),raw_data/manual_staging/01_graduation_requirements/by_department/인문대학/U01010400016__중어중문학과
